Категория,Название,Цена,Описание,Готовность в течение,Биоматериалы
Популярное,Стандартный ПЦР-тест на РНК коронавируса (SARS-CoV-2),1990,"Это качественный анализ на обнаружение РНК коронавируса SARS-CoV-2. Мазок из ротоглотки нужно будет взять самостоятельно — курьер привезёт набор со всем необходимым. 

Если нужна справка на русском и английском языке, укажите это при оформлении заказа — сделаем в подарок. С ней на границе не будет проблем: лаборатория аккредитована Роспотребнадзором, а документ оформлен по всем правилам.",2,"Мазок с зева, Мокрота"
Популярное,"25-OH витамин D, суммарный",1490,"Основной метаболит витамина D, по которому судят о его концентрации в организме. Это жирорастворимое вещество, необходимое для поддержания в крови уровня кальция, фосфора и магния.",2,Сыворотка
Популярное,АЧТВ,290,"Время, за которое образуется сгусток крови после присоединения к плазме хлорида кальция и других реагентов. Оно отражает работу так называемого внутреннего пути и общего каскада свертывающей системы крови человека и является наиболее чувствительным показателем свертываемости крови.
При применении очень высоких доз гепарина, например, при открытых операциях на сердце, тест на АЧТВ теряет свою чувствительность – тромбообразование сильно снижается.",1,Кровь с цитратом
Популярное,Аланинаминотрансфераза (АЛТ),249,"Внутриклеточный фермент из группы аминотрансфераз, играющий одну из ключевых ролей в обмене аминокислот и обеспечении клеток энергией.
АЛТ катализирует реакцию трансаминирования между аланином и альфа-кетоглутаратом.
Находится во всех клетках организма, главным образом в печени и почках, меньше его в сердце и мышцах.",1,Сыворотка
Популярное,"Антитела к коронавирусу SARS-Cov-2 IgM, полуколичественный",1490,"Исследование, которое помогает проверить наличие антител в крови к коронавирусу. IgM-антитела производятся первыми, их уровень быстро нарастает в начале инфекции, достигая максимума в острый период болезни, а затем постепенно снижается, полностью исчезая к моменту выздоровления.",1,Кровь
Популярное,Антитела к микросомальной тиреопероксидазе (АТ-ТПО),690,"Антитела к тиреопероксидазе – специфические иммуноглобулины, направленные против фермента, содержащегося в клетках щитовидной железы и отвечающего за образование активной формы йода для синтеза тиреоидных гормонов. Они являются специфичным маркером аутоиммунных заболеваний щитовидной железы.",1,Сыворотка
Популярное,Аспартатаминотрансфераза (АСТ),290,"Аспартатаминотрансфераза (АСТ) – фермент, который находится во всех клетках организма, но, главным образом,  в клетках сердца и печени и, в меньшей степени, в почках и мышцах. В норме активность АСТ в крови очень низкая. При повреждении тканей печени или мышц она высвобождается в кровь. Таким образом, АСТ является показателем повреждений печени.",1,Сыворотка
Популярное,Билирубин общий,249,"Билирубин общий — продукт распада гемоглобина, миоглобина и цитохромов, образуется преимущественно в результате распада гемовой части гемоглобина эритроцитов после их гибели, в меньшей степени при распаде других гемсодержащих белков.",1,Сыворотка
Популярное,Витамин B12,990,"Витамин B12 (цианокобаламин) – водорастворимый витамин, играет важную роль в нормальном функционировании нервной системы и формировании клеток крови.
Его дефицит может вызвать серьезные изменения в организме. B12 накапливается преимущественно в печени и селезенке.",1,Сыворотка
Популярное,Глюкоза,249,"Органическое соединение, основная функция которого- источник энергии для организма. Углеводы расщепляются на глюкозу и другие простые сахара, которые усваиваются тонким кишечником и поступают в кровь.
Мозгу и нервным клеткам она нужна не только как источник энергии, но и как регулятор деятельности, поскольку они могут функционировать только если содержание глюкозы в крови достигает определенного уровня.",1,Кровь с фторидом натрия
Популярное,Гомоцистеин,1890,"Гомоцистеин — серосодержащая аминокислота плазмы крови, является продуктом обмена аминокислот метионина и цистеина. Гомоцистеин обычно содержится в клетках организма в очень небольших концентрациях. Метионин является одной из одиннадцати незаменимых аминокислот, то есть таких, которые не образуются в организме и поступают в него только с пищей. Высокие уровни гомоцистеина в крови ассоциированы с риском сердечно-сосудистых заболеваний, сахарного диабета, болезни Альцгеймера и остеопороза.",1,Сыворотка
Популярное,Клинический анализ крови с лейкоцитарной формулой и СОЭ,590,"Клинический  анализ крови – это развернутое исследование качественного и количественного состава крови, в ходе которого дается характеристика эритроцитов и их специфических показателей (MCV, MCH, MCHC, RDW), лейкоцитов и их разновидностей в процентном соотношении (лейкоцитарная формула) и тромбоцитов, а также определяется скорость оседания эритроцитов (СОЭ). Используется для диагностики и контроля лечения многих заболеваний.",1,Сыворотка
Популярное,Креатинин,249,"Креатинин — конечный продукт метаболизма мышечного креатина, хотя незначительный вклад в его продукцию может вносить и потребление в пищу мяса. Этот показатель отражает баланс между продукцией креатинина и его экскрецией почками.",1,Сыворотка
Популярное,Мочевина,249,Основной продукт распада белков. Выводится из организма вместе с лишним азотом.,1,Сыворотка
Популярное,Общий анализ мочи,490,"Общий (клинический) анализ мочи - исследование, позволяющее судить об общем состоянии организма и диагностировать ряд урологических, эндокринных, метаболических и других заболеваний.",1,Моча
Популярное,Общий бета-ХГЧ,690,"Хорионический гонадотропин человека (ХГЧ) – это гормон, который вырабатывается в плодной оболочке человеческого эмбриона. Он является важным показателем развития беременности и ее отклонений. Бета-субъединица хорионического гонадотропина уникальна, что, с одной стороны, обуславливает специфичность его действия, а с другой – позволяет идентифицировать его в биологических средах. Зная уровень бета-ХГЧ в крови, можно уже на 6-8-й день после зачатия диагностировать беременность. В норме при беременности в период между 2-й и 5-й неделей количество бета-ХГЧ удваивается каждые 1,5 суток.",3,Сыворотка
Популярное,СОЭ (ESR),259,"Неспецифический показатель воспаления, показывает скорость оседания эритроцитов.",1,Кровь с EDTA
Популярное,Срочный ПЦР-тест на РНК коронавируса (SARS-CoV-2),2490,"Это качественный анализ на обнаружение РНК коронавируса SARS-CoV-2. Мазок из ротоглотки нужно будет взять самостоятельно — курьер привезёт набор со всем необходимым. 

Если нужна справка на русском и английском языке, укажите это при оформлении заказа — сделаем в подарок. С ней на границе не будет проблем: лаборатория аккредитована Роспотребнадзором, а документ оформлен по всем правилам.",1,"Мазок с зева, Мокрота"
Популярное,Тиреотропный гормон (ТТГ),590,"Тиреотропный гормон (ТТГ) – основной регулятор функции щитовидной железы, синтезирующийся гипофизом – небольшой железой, которая расположена на нижней поверхности головного мозга. Основная его функция – поддерживать постоянную концентрацию гормонов щитовидной железы – тиреоидных гормонов, которые регулируют процессы образования энергии в организме. Когда их содержание в крови понижается, гипоталамус высвобождает гормон, стимулирующий секрецию ТТГ гипофизом.",3,Сыворотка
Популярное,Тироксин (Т4) свободный,590,"Тироксин (Т4) – один из двух главных гормонов щитовидной железы, основной функцией которого является регуляция энергетического и пластического обмена в организме. Свободный тироксин – биологически активная часть общего тироксина, которая играет важную роль в обмене веществ.",3,Сыворотка
Популярное,Триглицериды,290,"Жиры - один из основных источников энергии для клеток организма. Часть триглицеридов находится в крови.
Повышение их уровня увеличивает риск заболевания сердца и сосудов, а также риск развития острого панкреатита.",1,Сыворотка
Популярное,Ферритин,690,"Ферритин — основной белок, который депонирует железо, и служит индикатором запасов железа в организме.",1,Сыворотка
Популярное,Фибриноген,390,"Фибриноген - растворённый в плазме бесцветный белок, вырабатываемый печенью. При активации системы свёртывания крови подвергается ферментативному расщеплению ферментом тромбином. Образующийся фибрин - основа сгустка при свертывании крови.",1,Кровь с цитратом
Популярное,Холестерин ЛПВП,390,"Холестерол (холестерин) - это органическое соединение, природный полициклический липофильный спирт, содержащийся в клеточных мембранах (крови) всех животных и человека. Играет важную роль в строительстве клеточных мембран, выработке витамина D, жирных кислот и гормонов (стероидных: кортизол, альдостерон, половых: эстрогены, прогестерон, тестостерон).
Уровень холестерола может повышаться или снижаться в течение небольшого помежутка времени - эти изменения метаболизма ЛПВП в организме являются нормальными и называются биологческой вариацией. Поэтому иногда может потребоваться сдать анализ повторно.",1,Сыворотка
Популярное,Холестерин ЛПНП,390,"Липопротеины низкой плотности – основные переносчики холестерола (холестерина) в организме.
Холестерол, входящий в их состав, считается ""вредным"", так как при его избытке повышается риск появления в артериях бляшек, которые могут приводить к их закупорке и вызывать инфаркт или инсульт.",1,Сыворотка
Популярное,Холестерин общий,290,"Холестерол общий (холестерин) – жироподобное вещество, необходимое организму для нормального функционирования клеток, переваривания пищи, создания многих гормонов. При избытке холестерина увеличивается риск появления бляшек в артериях, которые могут приводить к их закупорке и вызывать инфаркт или инсульт.",1,Сыворотка
COVID,Стандартный ПЦР-тест на РНК коронавируса (SARS-CoV-2),1990,"Это качественный анализ на обнаружение РНК коронавируса SARS-CoV-2. Мазок из ротоглотки нужно будет взять самостоятельно — курьер привезёт набор со всем необходимым. 

Если нужна справка на русском и английском языке, укажите это при оформлении заказа — сделаем в подарок. С ней на границе не будет проблем: лаборатория аккредитована Роспотребнадзором, а документ оформлен по всем правилам.",2,"Мазок с зева, Мокрота"
COVID,"Антитела IgG к коронавирусу SARS CoV-2, колич",1390,"Анализ крови на антитела к возбудителю COVID 19 выполняется для оценки иммунного ответа на текущую или перенесенную инфекцию. Выявление IgG-антител позволяет судить о наличии защитного иммунитета, который может сформироваться как после перенесенного заболевания, так и после вакцинации. Количественный метод.",3,Кровь
